[2017-12-13 10:44:43:650] ServiceB Start
[2017-12-13 10:44:48:673] ServiceA : Stopped
[2017-12-13 10:44:48:675] Count : 0
[2017-12-13 10:44:53:652] ServiceA : Stopped
[2017-12-13 10:44:53:652] Count : 0
[2017-12-13 10:44:58:654] ServiceA : Running
[2017-12-13 10:44:58:656] Count : 0
[2017-12-13 10:45:03:653] ServiceA : Running
[2017-12-13 10:45:03:653] Count : 0
[2017-12-13 10:45:08:655] ServiceA : Running
[2017-12-13 10:45:08:657] Count : 0
[2017-12-13 10:45:13:655] ServiceA : Stopped
[2017-12-13 10:45:13:657] Count : 0
[2017-12-13 10:45:18:656] ServiceA : Stopped
[2017-12-13 10:45:18:658] Count : 0
[2017-12-13 10:45:23:656] ServiceA : Running
[2017-12-13 10:45:23:657] Count : 0
[2017-12-13 10:45:28:657] ServiceA : Running
[2017-12-13 10:45:28:660] Count : 0
[2017-12-13 10:45:33:657] ServiceA : Running
[2017-12-13 10:45:33:659] Count : 0
[2017-12-13 10:45:38:657] ServiceA : Running
[2017-12-13 10:45:38:658] Count : 0
[2017-12-13 10:45:43:657] ServiceA : Running
[2017-12-13 10:45:43:658] Count : 0
[2017-12-13 10:45:48:659] ServiceA : Running
[2017-12-13 10:45:48:661] Count : 0
[2017-12-13 10:45:53:660] ServiceA : Running
[2017-12-13 10:45:53:663] Count : 0
[2017-12-13 10:45:58:660] ServiceA : Running
[2017-12-13 10:45:58:663] Count : 0
[2017-12-13 10:46:03:660] ServiceA : Stopped
[2017-12-13 10:46:03:661] Count : 0
[2017-12-13 10:46:08:661] ServiceA : Running
[2017-12-13 10:46:08:663] Count : 0
[2017-12-13 10:46:13:663] ServiceA : Stopped
[2017-12-13 10:46:13:665] Count : 0
[2017-12-13 10:46:18:664] ServiceA : Running
[2017-12-13 10:46:18:665] Count : 0
[2017-12-13 10:46:23:663] ServiceA : Running
[2017-12-13 10:46:23:665] Count : 0
[2017-12-13 10:46:28:664] ServiceA : Running
[2017-12-13 10:46:28:666] Count : 0
[2017-12-13 10:46:33:664] ServiceA : Stopped
[2017-12-13 10:46:33:666] Count : 0
[2017-12-13 10:46:38:665] ServiceA : Running
[2017-12-13 10:46:38:667] Count : 0
[2017-12-13 10:46:43:665] ServiceA : Running
[2017-12-13 10:46:43:667] Count : 0
[2017-12-13 10:46:48:666] ServiceA : Running
[2017-12-13 10:46:48:668] Count : 0
[2017-12-13 10:46:53:666] ServiceA : Running
[2017-12-13 10:46:53:668] Count : 0
[2017-12-13 10:46:58:667] ServiceA : Running
[2017-12-13 10:46:58:669] Count : 0
[2017-12-13 10:47:03:667] ServiceA : Running
[2017-12-13 10:47:03:669] Count : 0
[2017-12-13 10:47:08:668] ServiceA : Running
[2017-12-13 10:47:08:670] Count : 0
[2017-12-13 10:47:13:669] ServiceA : Running
[2017-12-13 10:47:13:671] Count : 0
[2017-12-13 10:47:18:669] ServiceA : Running
[2017-12-13 10:47:18:671] Count : 0
[2017-12-13 10:47:23:670] ServiceA : Running
[2017-12-13 10:47:23:672] Count : 0
[2017-12-13 10:47:28:670] ServiceA : Stopped
[2017-12-13 10:47:28:670] Count : 0
[2017-12-13 10:47:33:670] ServiceA : Running
[2017-12-13 10:47:33:671] Count : 0
[2017-12-13 10:47:38:671] ServiceA : Running
[2017-12-13 10:47:38:673] Count : 0
[2017-12-13 10:47:43:670] ServiceA : Running
[2017-12-13 10:47:43:671] Count : 0
[2017-12-13 10:47:48:671] ServiceA : Running
[2017-12-13 10:47:48:672] Count : 0
[2017-12-13 10:47:53:674] ServiceA : Running
[2017-12-13 10:47:53:676] Count : 0
[2017-12-13 10:47:58:673] ServiceA : Stopped
[2017-12-13 10:47:58:674] Count : 0
[2017-12-13 10:48:03:674] ServiceA : Running
[2017-12-13 10:48:03:675] Count : 0
[2017-12-13 10:48:08:674] ServiceA : Running
[2017-12-13 10:48:08:675] Count : 0
[2017-12-13 10:48:13:675] ServiceA : Running
[2017-12-13 10:48:13:675] Count : 0
[2017-12-13 10:48:18:676] ServiceA : Running
[2017-12-13 10:48:18:678] Count : 0
[2017-12-13 10:48:23:675] ServiceA : Running
[2017-12-13 10:48:23:676] Count : 0
[2017-12-13 10:48:28:676] ServiceA : Running
[2017-12-13 10:48:28:677] Count : 0
[2017-12-13 10:48:33:676] ServiceA : Running
[2017-12-13 10:48:33:676] Count : 0
[2017-12-13 10:48:38:677] ServiceA : Running
[2017-12-13 10:48:38:677] Count : 0
[2017-12-13 10:48:43:678] ServiceA : Running
[2017-12-13 10:48:43:680] Count : 0
[2017-12-13 10:48:48:678] ServiceA : Running
[2017-12-13 10:48:48:679] Count : 0
[2017-12-13 10:48:53:683] ServiceA : Running
[2017-12-13 10:48:53:685] Count : 0
[2017-12-13 10:48:58:680] ServiceA : Running
[2017-12-13 10:48:58:682] Count : 0
[2017-12-13 10:49:03:679] ServiceA : Running
[2017-12-13 10:49:03:680] Count : 0
[2017-12-13 10:49:08:681] ServiceA : Running
[2017-12-13 10:49:08:683] Count : 0
[2017-12-13 10:49:13:682] ServiceA : Running
[2017-12-13 10:49:13:684] Count : 0
[2017-12-13 10:49:18:683] ServiceA : Running
[2017-12-13 10:49:18:684] Count : 0
[2017-12-13 10:49:23:682] ServiceA : Running
[2017-12-13 10:49:23:683] Count : 0
[2017-12-13 10:49:28:685] ServiceA : Running
[2017-12-13 10:49:28:687] Count : 0
[2017-12-13 10:49:33:683] ServiceA : Running
[2017-12-13 10:49:33:684] Count : 0
[2017-12-13 10:49:38:684] ServiceA : Running
[2017-12-13 10:49:38:684] Count : 0
[2017-12-13 10:49:43:686] ServiceA : Running
[2017-12-13 10:49:43:688] Count : 0
[2017-12-13 10:49:48:686] ServiceA : Running
[2017-12-13 10:49:48:688] Count : 0
[2017-12-13 10:49:53:686] ServiceA : Running
[2017-12-13 10:49:53:687] Count : 0
[2017-12-13 10:49:58:686] ServiceA : Running
[2017-12-13 10:49:58:686] Count : 0
[2017-12-13 10:50:03:688] ServiceA : Running
[2017-12-13 10:50:03:690] Count : 0
[2017-12-13 10:50:08:687] ServiceA : Running
[2017-12-13 10:50:08:688] Count : 0
[2017-12-13 10:50:13:688] ServiceA : Running
[2017-12-13 10:50:13:689] Count : 0
[2017-12-13 10:50:18:690] ServiceA : Running
[2017-12-13 10:50:18:692] Count : 0
[2017-12-13 10:50:23:691] ServiceA : Running
[2017-12-13 10:50:23:693] Count : 0
[2017-12-13 10:50:28:691] ServiceA : Running
[2017-12-13 10:50:28:693] Count : 0
[2017-12-13 10:50:33:690] ServiceA : Running
[2017-12-13 10:50:33:691] Count : 0
[2017-12-13 10:50:38:692] ServiceA : Running
[2017-12-13 10:50:38:694] Count : 0
[2017-12-13 10:50:43:693] ServiceA : Running
[2017-12-13 10:50:43:695] Count : 0
[2017-12-13 10:50:48:693] ServiceA : Running
[2017-12-13 10:50:48:695] Count : 0
[2017-12-13 10:50:53:693] ServiceA : Running
[2017-12-13 10:50:53:694] Count : 0
[2017-12-13 10:50:58:694] ServiceA : Running
[2017-12-13 10:50:58:696] Count : 0
[2017-12-13 10:51:03:694] ServiceA : Running
[2017-12-13 10:51:03:696] Count : 0
[2017-12-13 10:51:08:695] ServiceA : Running
[2017-12-13 10:51:08:697] Count : 0
[2017-12-13 10:51:13:696] ServiceA : Running
[2017-12-13 10:51:13:698] Count : 0
[2017-12-13 10:51:18:695] ServiceA : Running
[2017-12-13 10:51:18:696] Count : 0
[2017-12-13 10:51:23:697] ServiceA : Stopped
[2017-12-13 10:51:23:699] Count : 0
[2017-12-13 10:51:28:697] ServiceA : Running
[2017-12-13 10:51:28:699] Count : 0
[2017-12-13 10:51:33:699] ServiceA : Running
[2017-12-13 10:51:33:701] Count : 0
[2017-12-13 10:51:38:698] ServiceA : Running
[2017-12-13 10:51:38:700] Count : 0
[2017-12-13 10:51:43:699] ServiceA : Running
[2017-12-13 10:51:43:701] Count : 0
[2017-12-13 10:51:48:699] ServiceA : Running
[2017-12-13 10:51:48:701] Count : 0
[2017-12-13 10:51:53:700] ServiceA : Running
[2017-12-13 10:51:53:702] Count : 0
[2017-12-13 10:51:58:700] ServiceA : Running
[2017-12-13 10:51:58:702] Count : 0
[2017-12-13 10:52:03:701] ServiceA : Running
[2017-12-13 10:52:03:703] Count : 0
[2017-12-13 10:52:08:702] ServiceA : Running
[2017-12-13 10:52:08:704] Count : 0
[2017-12-13 10:52:13:701] ServiceA : Running
[2017-12-13 10:52:13:702] Count : 0
[2017-12-13 10:52:18:703] ServiceA : Running
[2017-12-13 10:52:18:705] Count : 0
[2017-12-13 10:52:23:703] ServiceA : Running
[2017-12-13 10:52:23:705] Count : 0
[2017-12-13 10:52:28:705] ServiceA : Running
[2017-12-13 10:52:28:707] Count : 0
[2017-12-13 10:52:33:706] ServiceA : Running
[2017-12-13 10:52:33:712] Count : 0
[2017-12-13 10:52:38:716] ServiceA : Running
[2017-12-13 10:52:38:716] Count : 0
[2017-12-13 10:52:43:717] ServiceA : Running
[2017-12-13 10:52:43:717] Count : 0
[2017-12-13 10:52:48:717] ServiceA : Running
[2017-12-13 10:52:48:717] Count : 0
[2017-12-13 10:52:53:720] ServiceA : Running
[2017-12-13 10:52:53:720] Count : 0
[2017-12-13 10:52:58:721] ServiceA : Running
[2017-12-13 10:52:58:721] Count : 0
[2017-12-13 10:53:03:737] ServiceA : Running
[2017-12-13 10:53:03:737] Count : 0
[2017-12-13 10:53:08:738] ServiceA : Running
[2017-12-13 10:53:08:738] Count : 0
[2017-12-13 10:53:13:738] ServiceA : Running
[2017-12-13 10:53:13:738] Count : 0
[2017-12-13 10:53:18:739] ServiceA : Running
[2017-12-13 10:53:18:739] Count : 0
[2017-12-13 10:53:23:740] ServiceA : Running
[2017-12-13 10:53:23:740] Count : 0
[2017-12-13 10:53:28:741] ServiceA : Running
[2017-12-13 10:53:28:741] Count : 0
[2017-12-13 10:53:33:757] ServiceA : Running
[2017-12-13 10:53:33:757] Count : 0
[2017-12-13 10:53:38:757] ServiceA : Running
[2017-12-13 10:53:38:757] Count : 0
[2017-12-13 10:53:43:758] ServiceA : Running
[2017-12-13 10:53:43:758] Count : 0
[2017-12-13 11:07:14:689] ServiceB Start
[2017-12-13 11:07:19:696] ServiceA : Running
[2017-12-13 11:07:24:692] ServiceA : Running
[2017-12-13 11:07:27:550] ServiceB Stop
[2017-12-13 11:08:19:192] ServiceB Start
[2017-12-13 11:08:24:216] ServiceA : Running
[2017-12-13 11:08:24:219] Count : 0
[2017-12-13 11:08:29:197] ServiceA : Running
[2017-12-13 11:08:29:198] Count : 0
[2017-12-13 11:08:34:196] ServiceA : Running
[2017-12-13 11:08:34:198] Count : 0
[2017-12-13 11:08:39:197] ServiceA : Running
[2017-12-13 11:08:39:199] Count : 0
[2017-12-13 11:08:44:197] ServiceA : Running
[2017-12-13 11:08:44:199] Count : 0
[2017-12-13 11:08:49:198] ServiceA : Running
[2017-12-13 11:08:49:200] Count : 0
[2017-12-13 11:08:51:077] ServiceB Stop
[2017-12-13 11:13:00:978] ServiceB Start
[2017-12-13 11:13:05:988] ServiceA : Running
[2017-12-13 11:13:05:989] Count : 0
[2017-12-13 11:13:10:980] ServiceA : Running
[2017-12-13 11:13:10:980] Count : 0
[2017-12-13 11:13:15:980] ServiceA : Running
[2017-12-13 11:13:15:981] Count : 0
[2017-12-13 11:13:20:982] ServiceA : Running
[2017-12-13 11:13:20:983] Count : 0
[2017-12-13 11:13:25:983] ServiceA : Running
[2017-12-13 11:13:25:985] Count : 0
[2017-12-13 11:13:30:982] ServiceA : Running
[2017-12-13 11:13:30:982] Count : 0
[2017-12-13 11:13:35:983] ServiceA : Running
[2017-12-13 11:13:35:984] Count : 0
[2017-12-13 11:13:40:983] ServiceA : Running
[2017-12-13 11:13:40:984] Count : 0
