[2017-11-25 16:32:46:412] ServiceB Stop
[2017-11-25 16:32:54:268] ServiceB Start
[2017-11-25 16:32:59:289] ServiceA : Running
[2017-11-25 16:33:04:271] ServiceA : Running
[2017-11-25 16:33:09:271] ServiceA : Running
[2017-11-25 16:33:14:271] ServiceA : Running
[2017-11-25 16:33:19:271] ServiceA : Running
[2017-11-25 16:33:24:273] ServiceA : Running
[2017-11-25 16:33:29:273] ServiceA : Running
[2017-11-25 16:33:34:273] ServiceA : Running
[2017-11-25 16:33:39:275] ServiceA : Running
[2017-11-25 16:33:44:274] ServiceA : Running
[2017-11-25 16:33:49:275] ServiceA : Running
[2017-11-25 16:33:54:275] ServiceA : Running
[2017-11-25 16:33:59:276] ServiceA : Running
[2017-11-25 16:34:04:277] ServiceA : Running
[2017-11-25 16:34:09:278] ServiceA : Running
[2017-11-25 16:34:14:278] ServiceA : Running
[2017-11-25 16:34:19:278] ServiceA : Running
[2017-11-25 16:34:24:280] ServiceA : Running
[2017-11-25 16:34:29:279] ServiceA : Running
[2017-11-25 16:34:34:281] ServiceA : Running
[2017-11-25 16:34:39:281] ServiceA : Running
[2017-11-25 16:34:44:282] ServiceA : Running
[2017-11-25 16:34:49:282] ServiceA : Running
[2017-11-25 16:34:54:283] ServiceA : Running
[2017-11-25 16:34:59:283] ServiceA : Running
[2017-11-25 16:35:04:283] ServiceA : Running
[2017-11-25 16:35:09:284] ServiceA : Running
[2017-11-25 16:35:14:285] ServiceA : Running
[2017-11-25 16:35:19:286] ServiceA : Running
[2017-11-25 16:35:24:285] ServiceA : Running
[2017-11-25 16:35:29:286] ServiceA : Running
[2017-11-25 16:35:34:287] ServiceA : Running
[2017-11-25 16:35:39:288] ServiceA : Running
[2017-11-25 16:35:44:289] ServiceA : Running
[2017-11-25 16:35:49:288] ServiceA : Running
[2017-11-25 16:35:54:289] ServiceA : Running
[2017-11-25 16:35:59:290] ServiceA : Running
[2017-11-25 16:36:04:290] ServiceA : Running
[2017-11-25 16:36:09:290] ServiceA : Running
[2017-11-25 16:36:14:291] ServiceA : Running
[2017-11-25 16:36:19:292] ServiceA : Running
[2017-11-25 16:36:24:293] ServiceA : Running
[2017-11-25 16:36:29:293] ServiceA : Running
[2017-11-25 16:36:34:294] ServiceA : Running
[2017-11-25 16:36:39:294] ServiceA : Running
[2017-11-25 16:36:44:295] ServiceA : Running
[2017-11-25 16:36:49:296] ServiceA : Running
[2017-11-25 16:36:54:296] ServiceA : Running
[2017-11-25 16:36:59:297] ServiceA : Running
[2017-11-25 16:37:04:297] ServiceA : Running
[2017-11-25 16:37:09:298] ServiceA : Running
[2017-11-25 16:37:14:298] ServiceA : Running
[2017-11-25 16:37:19:299] ServiceA : Running
[2017-11-25 16:37:24:299] ServiceA : Running
[2017-11-25 16:37:29:300] ServiceA : Running
[2017-11-25 16:37:34:299] ServiceA : Running
[2017-11-25 16:37:39:301] ServiceA : Running
[2017-11-25 16:37:44:301] ServiceA : Running
[2017-11-25 16:37:49:301] ServiceA : Running
[2017-11-25 16:37:54:303] ServiceA : Running
[2017-11-25 16:37:59:302] ServiceA : Running
[2017-11-25 16:38:04:303] ServiceA : Running
[2017-11-25 16:38:09:303] ServiceA : Running
[2017-11-25 16:38:14:305] ServiceA : Running
[2017-11-25 16:38:19:305] ServiceA : Running
[2017-11-25 16:38:24:306] ServiceA : Running
[2017-11-25 16:38:29:307] ServiceA : Running
[2017-11-25 16:38:34:307] ServiceA : Running
[2017-11-25 16:38:39:307] ServiceA : Running
[2017-11-25 16:38:44:307] ServiceA : Running
[2017-11-25 16:38:49:308] ServiceA : Running
[2017-11-25 16:38:54:309] ServiceA : Running
[2017-11-25 16:38:59:308] ServiceA : Running
[2017-11-25 16:39:04:310] ServiceA : Running
[2017-11-25 16:39:09:311] ServiceA : Running
[2017-11-25 16:39:14:311] ServiceA : Running
[2017-11-25 16:39:19:312] ServiceA : Running
[2017-11-25 16:39:24:312] ServiceA : Running
[2017-11-25 16:39:29:312] ServiceA : Running
[2017-11-25 16:39:34:313] ServiceA : Running
[2017-11-25 16:39:39:313] ServiceA : Running
[2017-11-25 16:39:44:314] ServiceA : Running
[2017-11-25 16:39:49:315] ServiceA : Running
[2017-11-25 16:39:54:314] ServiceA : Running
[2017-11-25 16:39:59:316] ServiceA : Running
[2017-11-25 16:40:04:315] ServiceA : Running
[2017-11-25 16:40:09:317] ServiceA : Running
[2017-11-25 16:40:14:316] ServiceA : Running
[2017-11-25 16:40:19:317] ServiceA : Running
[2017-11-25 16:40:24:319] ServiceA : Running
[2017-11-25 16:40:29:319] ServiceA : Running
[2017-11-25 16:40:34:320] ServiceA : Running
[2017-11-25 16:40:39:320] ServiceA : Running
[2017-11-25 16:40:44:321] ServiceA : Running
[2017-11-25 16:40:49:320] ServiceA : Running
[2017-11-25 16:40:54:322] ServiceA : Running
[2017-11-25 16:40:59:322] ServiceA : Running
[2017-11-25 16:41:04:323] ServiceA : Running
[2017-11-25 16:41:09:323] ServiceA : Running
[2017-11-25 16:41:14:324] ServiceA : Running
[2017-11-25 16:41:19:324] ServiceA : Running
[2017-11-25 16:41:24:325] ServiceA : Running
[2017-11-25 16:41:29:325] ServiceA : Running
[2017-11-25 16:41:34:326] ServiceA : Running
[2017-11-25 16:41:39:327] ServiceA : Running
[2017-11-25 16:41:44:326] ServiceA : Running
[2017-11-25 16:41:49:327] ServiceA : Running
[2017-11-25 16:41:54:328] ServiceA : Running
[2017-11-25 16:41:59:328] ServiceA : Running
[2017-11-25 16:42:04:328] ServiceA : Running
[2017-11-25 16:42:09:330] ServiceA : Running
[2017-11-25 16:42:14:330] ServiceA : Running
[2017-11-25 16:42:19:331] ServiceA : Running
[2017-11-25 16:42:24:331] ServiceA : Running
[2017-11-25 16:42:29:331] ServiceA : Running
[2017-11-25 16:42:34:331] ServiceA : Running
[2017-11-25 16:42:39:333] ServiceA : Running
[2017-11-25 16:42:44:332] ServiceA : Running
[2017-11-25 16:42:49:334] ServiceA : Running
[2017-11-25 16:42:54:335] ServiceA : Running
[2017-11-25 16:42:59:335] ServiceA : Running
[2017-11-25 16:43:04:336] ServiceA : Running
[2017-11-25 16:43:09:336] ServiceA : Running
[2017-11-25 16:43:14:337] ServiceA : Running
[2017-11-25 16:43:19:337] ServiceA : Running
[2017-11-25 16:43:24:338] ServiceA : Running
[2017-11-25 16:43:29:338] ServiceA : Running
[2017-11-25 16:43:34:339] ServiceA : Running
[2017-11-25 16:43:39:340] ServiceA : Running
[2017-11-25 16:43:44:340] ServiceA : Running
[2017-11-25 16:43:49:340] ServiceA : Running
[2017-11-25 16:43:54:341] ServiceA : Running
[2017-11-25 16:43:59:342] ServiceA : Running
[2017-11-25 16:44:04:341] ServiceA : Running
[2017-11-25 16:44:09:343] ServiceA : Running
[2017-11-25 16:44:14:343] ServiceA : Running
[2017-11-25 16:44:19:344] ServiceA : Running
[2017-11-25 16:44:24:344] ServiceA : Running
[2017-11-25 16:44:29:345] ServiceA : Running
[2017-11-25 16:44:34:345] ServiceA : Running
[2017-11-25 16:44:39:346] ServiceA : Running
[2017-11-25 16:44:44:346] ServiceA : Running
[2017-11-25 16:44:49:347] ServiceA : Running
[2017-11-25 16:44:54:347] ServiceA : Running
[2017-11-25 16:44:59:348] ServiceA : Running
[2017-11-25 16:45:04:348] ServiceA : Running
[2017-11-25 16:45:09:349] ServiceA : Running
[2017-11-25 16:45:14:350] ServiceA : Running
[2017-11-25 16:45:19:350] ServiceA : Running
[2017-11-25 16:45:24:351] ServiceA : Running
[2017-11-25 16:45:29:351] ServiceA : Running
[2017-11-25 16:45:34:352] ServiceA : Running
[2017-11-25 16:45:39:352] ServiceA : Running
[2017-11-25 16:45:44:352] ServiceA : Running
[2017-11-25 16:45:49:352] ServiceA : Running
[2017-11-25 16:45:54:353] ServiceA : Running
[2017-11-25 16:45:59:353] ServiceA : Running
[2017-11-25 16:46:04:356] ServiceA : Running
[2017-11-25 16:46:09:354] ServiceA : Running
[2017-11-25 16:46:14:356] ServiceA : Running
[2017-11-25 16:46:19:356] ServiceA : Running
[2017-11-25 16:46:24:357] ServiceA : Running
[2017-11-25 16:46:29:357] ServiceA : Running
[2017-11-25 16:46:34:358] ServiceA : Running
[2017-11-25 16:46:39:358] ServiceA : Running
[2017-11-25 16:46:44:359] ServiceA : Running
[2017-11-25 16:46:49:358] ServiceA : Running
[2017-11-25 16:46:54:360] ServiceA : Running
[2017-11-25 16:46:59:360] ServiceA : Running
[2017-11-25 16:47:04:361] ServiceA : Running
[2017-11-25 16:47:09:362] ServiceA : Running
[2017-11-25 16:47:14:362] ServiceA : Running
[2017-11-25 16:47:19:363] ServiceA : Running
[2017-11-25 16:47:24:362] ServiceA : Running
[2017-11-25 16:47:29:364] ServiceA : Running
[2017-11-25 16:47:34:364] ServiceA : Running
[2017-11-25 16:47:39:365] ServiceA : Running
[2017-11-25 16:47:44:365] ServiceA : Running
[2017-11-25 16:47:49:366] ServiceA : Running
[2017-11-25 16:47:54:366] ServiceA : Running
[2017-11-25 16:47:59:367] ServiceA : Running
[2017-11-25 16:48:04:366] ServiceA : Running
[2017-11-25 16:48:09:368] ServiceA : Running
[2017-11-25 16:48:14:369] ServiceA : Running
[2017-11-25 16:48:19:369] ServiceA : Running
[2017-11-25 16:48:24:370] ServiceA : Running
[2017-11-25 16:48:29:370] ServiceA : Running
[2017-11-25 16:48:34:371] ServiceA : Running
[2017-11-25 16:48:39:371] ServiceA : Running
[2017-11-25 16:48:44:371] ServiceA : Running
[2017-11-25 16:48:49:372] ServiceA : Running
[2017-11-25 16:48:54:373] ServiceA : Running
[2017-11-25 16:48:59:374] ServiceA : Running
[2017-11-25 16:49:04:374] ServiceA : Running
[2017-11-25 16:49:09:375] ServiceA : Running
[2017-11-25 16:49:14:374] ServiceA : Running
[2017-11-25 16:49:19:376] ServiceA : Running
[2017-11-25 16:49:24:376] ServiceA : Running
[2017-11-25 16:49:29:377] ServiceA : Running
[2017-11-25 16:49:34:377] ServiceA : Running
[2017-11-25 16:49:39:378] ServiceA : Running
[2017-11-25 16:49:44:377] ServiceA : Running
[2017-11-25 16:49:49:379] ServiceA : Running
[2017-11-25 16:49:54:379] ServiceA : Running
[2017-11-25 16:49:59:380] ServiceA : Running
[2017-11-25 16:50:04:381] ServiceA : Running
[2017-11-25 16:50:09:381] ServiceA : Running
[2017-11-25 16:50:14:382] ServiceA : Running
[2017-11-25 16:50:19:381] ServiceA : Running
[2017-11-25 16:50:24:382] ServiceA : Running
[2017-11-25 16:50:29:382] ServiceA : Running
[2017-11-25 16:50:34:384] ServiceA : Running
[2017-11-25 16:50:39:384] ServiceA : Running
[2017-11-25 16:50:44:385] ServiceA : Running
[2017-11-25 16:50:49:384] ServiceA : Running
